word, len, perform_time, word_time
universities, 12, 6.48983, 6.48983
are, 3, 1.94212, 2.85491
too, 3, 1.47723, 1.46052
expensive, 9, 12.16507, 13.54263
time, 4, 8.89551, 3.3193
to, 2, 2.50587, 3.89987
go, 2, 1.42735, 1.32775
shopping, 8, 3.36946, 4.49814
a, 1, 0.04997, 1.94191
subject, 7, 2.9544, 4.34857
one, 3, 1.09547, 2.24053
can, 3, 1.01252, 1.94183
really, 6, 1.94176, 3.28585
enjoy, 5, 2.7881, 3.86695
my, 2, 0.63079, 2.47291
car, 3, 0.82995, 1.99162
always, 6, 2.25726, 3.35276
breaks, 6, 1.942, 3.28653
in, 2, 0.3156, 1.2449
the, 3, 3.137, 4.0496
winter, 6, 8.3487, 8.2822
my, 2, 3.9672, 1.7261
watch, 5, 1.7093, 2.7881
fell, 4, 3.2364, 4.5805
in, 2, 1.4607, 1.361
the, 3, 2.2241, 3.5519
water, 5, 2.6387, 2.5722
rate=14.5826328944, err=0.037037037037
