word, len, perform_time, word_time
please, 6, 2.3063, 2.3063
provide, 7, 3.6494, 4.3788
your, 4, 3.2011, 3.8139
date, 4, 3.1348, 3.947
of, 2, 3.3836, 3.6323
birth, 5, 2.4056, 3.5164
the, 3, 1.8753, 1.8753
capital, 7, 4.908, 5.9526
of, 2, 4.8416, 5.1235
our, 3, 2.505, 3.1516
nation, 6, 3.4158, 4.2117
just, 4, 4.014, 4.014
in, 2, 1.8089, 2.8038
time, 4, 4.7767, 5.6057
for, 3, 4.2957, 15.0916
the, 3, 2.0908, 2.9861
party, 5, 2.588, 3.8645
universities, 12, 7.7276, 7.7276
are, 3, 2.0905, 3.1352
too, 3, 2.205, 2.7522
expensive, 9, 4.7442, 5.3576
hands, 5, 2.555, 2.555
on, 2, 3.1005, 3.6642
experience, 10, 5.1413, 5.4231
with, 4, 2.7204, 3.5492
a, 1, 2.041, 7.4133
job, 3, 2.4724, 3.1686
experience, 10, 4.9093, 4.9093
is, 2, 6.0873, 6.6509
hard, 4, 2.7533, 3.4496
to, 2, 1.7738, 6.8304
come, 4, 2.7703, 3.5327
by, 2, 1.7922, 2.4882
good, 4, 3.5662, 3.5662
jobs, 4, 3.1681, 4.3617
for, 3, 3.1183, 3.9139
those, 5, 2.7871, 3.6325
with, 4, 3.3835, 3.8643
education, 9, 6.0332, 23.9866
bad, 3, 1.9245, 1.9245
for, 3, 2.3721, 2.9521
the, 3, 2.1732, 2.8028
environment, 11, 6.2334, 7.0123
rate=11.3098607002, err=0.0232558139535
