user, technique, word, rank, len, class, correct, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
gyz, normal, run, -1, 3, Undo, No, 0.0333, 0, -1, 1.11310931192, 4.57658085696, 0, 0.0
gyz, normal, is, 4, 2, Undo, No, 0.7794, 0, 1.50406550376, 0.578948204744, 0.304539484668, 6.07591752965, 7.79563450045
gyz, normal, healthy, 1, 7, Match, Yes, 2.58928, 0, 1.70507022574, 0.219995856002, 0.211273532942, 21.4956074103, 8.30177014856
gyz, normal, food, 1, 4, Match, No, 0.99588, 0, 1.16098222304, 0.146467491438, 0.365569120318, 12.1352820334, 12.1854862367
gyz, normal, is, 1, 2, Match, Yes, 0.69715, 0, 0.452462484482, 0.122793276742, 0.0380278479538, 5.49722773085, 7.88528685484
gyz, normal, good, 3, 4, Match, No, 1.26144, 0, 0.995823437589, 0.163171629167, 0.427404443126, 9.75869505674, 7.73615475706
gyz, normal, for, 2, 3, Select, Yes, 1.31139, 1.56021, 0.55094848148, 0.17496986862, 0.123260169666, 10.098314099, 7.70046599334
gyz, normal, you, 1, 3, Match, Yes, 1.62679, 0, 0.429556644583, 0.192574087366, 0.116004888987, 4.54357263644, 2.79296813753
gyz, normal, the, 1, 3, Match, Yes, 1.06248, 0, 0.566144108374, 0.198547934469, 0.237250135022, 5.23757482685, 4.92957498198
gyz, normal, price, 1, 5, Match, Yes, 2.29057, 0, 1.0366354689, 0.245834673667, 0.314710188594, 17.1223551168, 7.4751503411
gyz, normal, of, 2, 2, Select, Yes, 0.59746, 1.51041, 0.853666572825, 0.272495546615, 0.402157982194, 4.75468438008, 7.95816352573
gyz, normal, gas, 1, 3, Match, Yes, 1.6266, 0, 1.57095139922, 0.252307601475, 0.28655209823, 6.7032635331, 4.12102762394
gyz, normal, is, 1, 2, Match, Yes, 0.81349, 0, 1.26591986101, 0.226661270199, 0.164638760503, 5.44136266322, 6.68891155788
gyz, normal, high, 1, 4, Match, Yes, 1.01252, 0, 0.436237401256, 0.150947673904, 0.0790021178071, 6.383687123, 6.30475163256
gyz, normal, hands, 1, 5, Match, Yes, 1.67641, 0, 0.89014912859, 0.316263165818, 0.138203205071, 16.9905019348, 10.1350516489
gyz, normal, on, 1, 2, Match, Yes, 0.46464, 0, 0.997201361618, 0.259234920026, 0.165775335681, 2.74689228467, 5.91187216915
gyz, normal, experience, 1, 10, Match, Yes, 4.01673, 0, 0.958990203328, 0.318278224464, 0.261060026096, 36.2921625431, 9.03525069972
gyz, normal, with, 1, 4, Match, Yes, 1.22802, 0, 0.823797559717, 0.0984028796581, 0.582940507528, 10.5139152402, 8.56168078711
gyz, normal, a, 1, 1, Match, Yes, 0.01659, 0, 0.913915216531, 0.290756164296, 0.290756164296, 0, 0.0
gyz, normal, job, 1, 3, Match, Yes, 0.9459, 0, 0.779367716855, 0.0740028024132, 0.170835327778, 5.53841263776, 5.85517775426
gyz, normal, the, 1, 3, Match, Yes, 1.0289, 0, 0.541287075187, 0.0516267503723, 0.206750617675, 5.71479173947, 5.55427324275
gyz, normal, punishment, 1, 10, Match, Yes, 4.6464, 0, 2.32024096314, 0.0742269836111, 0.158392964623, 31.4494122932, 6.76855464299
gyz, normal, should, 1, 6, Match, Yes, 2.34, 0, 1.03318013085, 0.543881180381, 0.330452934678, 15.9837171653, 6.83064836122
gyz, normal, fit, 1, 3, Match, Yes, 1.278, 0, 0.57869063198, 0.26075403971, 0.10149303181, 6.53134550573, 5.11059898727
gyz, normal, the, 1, 3, Match, Yes, 1.0124, 0, 0.477153917877, 0.13157701414, 0.181580695329, 6.01627973096, 5.94259159518
gyz, normal, crime, 1, 5, Match, Yes, 1.9251, 0, 0.83002032679, 0.286503079469, 0.370250374965, 13.3332855984, 6.92602233569
gyz, normal, all, 1, 3, Match, Yes, 1.0625, 0, 0.529536272743, 0.0607887121782, 0.376896353702, 8.43576206834, 7.9395407702
gyz, normal, together, 1, 8, Match, Yes, 3.0371, 0, 0.864263669757, 0.216430377655, 0.314878084915, 18.441160885, 6.07196367753
gyz, normal, in, 1, 2, Match, Yes, 0.531, 0, 0.536852062478, 0.16670581935, 0.145013322578, 2.29453306457, 4.32115454722
gyz, normal, one, 1, 3, Match, Yes, 1.4273, 0, 0.742238910353, 0.41513874604, 0.246508176647, 7.77459456911, 5.44706408542
gyz, normal, big, 1, 3, Match, Yes, 1.0623, 0, 1.43830756314, 0.213805534676, 0.78212380327, 5.9628446477, 5.61314567232
gyz, normal, pile, 1, 4, Match, Yes, 1.4769, 0, 0.845217934025, 0.436904845448, 0.2629586641, 9.85788950253, 6.67471697646
gyz, normal, effort, 1, 6, Match, Yes, 2.572, 0, 0.700803124177, 0.285187290132, 0.271092900305, 12.6024131222, 4.89984958095
gyz, normal, is, 1, 2, Match, Yes, 0.7634, 0, 0.519585240637, 0.232901247581, 0.0622687995709, 5.92128362817, 7.75646270392
gyz, normal, what, 1, 4, Match, Yes, 1.7257, 0, 0.848467926583, 0.319715932456, 0.27739457264, 13.5045011344, 7.82552073616
gyz, normal, it, 1, 2, Match, Yes, 0.531, 0, 0.769855352277, 0.066263324494, 0.213283964163, 3.15234655682, 5.93662251755
gyz, normal, will, 2, 4, Select, Yes, 1.228, 1.311, 1.0767917788, 0.316039566449, 0.265403658884, 8.0062950643, 6.51978425432
gyz, normal, take, 1, 4, Match, Yes, 2.572, 0, 0.603332666898, 0.285682050001, 0.142922612976, 16.0075013518, 6.22375635763
gyz, normal, construction, 1, 12, Match, Yes, 4.4633, 0, 1.1200565561, 0.133463939587, 0.356081383535, 32.2326638094, 7.22171124714
gyz, normal, makes, 2, 5, Select, Yes, 2.0742, 2.6715, 1.22791312049, 0.39554145217, 0.416132746586, 20.0747926106, 9.67833025291
gyz, normal, traveling, 1, 9, Match, Yes, 4.2811, 0, 1.44466758653, 0.197445004677, 0.256374546266, 23.4487723709, 5.4772774219
gyz, normal, difficult, 1, 9, Match, Yes, 3.4175, 0, 1.03265573848, 0.966612752101, 0.167509667163, 25.6448039555, 7.50396604403
gyz, normal, my, 1, 2, Match, Yes, 0.5974, 0, 0.784181988777, 0.348554405584, 0.192358301971, 2.58477504235, 4.32670746962
gyz, normal, favorite, 1, 8, Match, Yes, 3.1855, 0, 0.790211801499, 0.143013849357, 0.0382099756739, 26.3961651823, 8.28634913902
