technique,user,English,QWERTY,gesture,VR,speed,accuracy,distance,fatigue,learnability,overall,age
baseline,hh,3,4,1,2,4,5,4,4,5,5,22
baseline,hx,3,4,1,2,3,4,2,2,4,4,21
baseline,wq,3,4,1,1,4,5,2,2,5,4,20
baseline,wth,4,5,1,1,5,4,3,3,5,5,20
baseline,zpj,4,4,1,2,4,4,3,3,4,4,21
baseline,zx,4,2,1,1,3,3,3,2,3,3,21
dwell,gd,2,5,1,2,2,1,3,1,4,3,21
dwell,myh,3,4,2,1,3,5,3,2,5,4,22
dwell,ws,2,2,2,3,3,4,3,2,4,5,21
dwell,wyh,3,4,2,2,3,2,3,5,5,4,27
dwell,ytl,2,3,3,4,2,5,4,3,5,3,20
dwell,yxj,3,4,3,3,2,4,2,3,5,4,18
normal,gyz,2,5,3,4,4,3,3,2,3,4,21
normal,ljy,4,3,2,2,4,3,5,3,4,3,25
normal,lmy,3,5,5,1,3,4,1,1,4,3,21
normal,xwj,3,5,4,3,5,4,3,3,5,5,21
normal,yyk,3,4,2,4,5,4,4,4,5,5,24
normal,yzc,3,5,5,3,5,5,2,2,4,5,22
,,,,,,Speed,Accuracy,Distance,Fatigue,Learnability,Preference,
TapType,,,,,,3.833333333,4.166666667,2.833333333,2.666666667,4.333333333,4.166666667,
DwellType,,,,,,2.5,3.5,3,2.666666667,4.666666667,3.833333333,
GestureType,,,,,,4.333333333,3.833333333,3,2.5,4.166666667,4.166666667,
TapType(SD),,,,,,0.752772653,0.752772653,0.752772653,0.816496581,0.816496581,0.752772653,
DwellType(SD),,,,,,0.547722558,1.643167673,0.632455532,1.366260102,0.516397779,0.752772653,
GestureType(SD),,,,,,0.816496581,0.752772653,1.414213562,1.048808848,0.752772653,0.98319208,
