technique, word, len, class, correct, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
normal, healthy, 7, Select, Yes, 2.58928, 0.0, 0.110036671822, 0.219995856002, 0.211273532942, 21.4956074103, 8.30177014856
normal, food, 4, Select, No, 0.99588, 0.0, 0.0270600534462, 0.146467491438, 0.365569120318, 12.1352820334, 12.1854862367
normal, is, 2, Select, Yes, 0.69715, 0.0, 0.00752992581277, 0.122793276742, 0.0380278479538, 5.49722773085, 7.88528685484
normal, good, 4, Select, No, 1.26144, 0.0, 0.062608515181, 0.163171629167, 0.427404443126, 9.75869505674, 7.73615475706
normal, for, 3, Match, Yes, 1.31139, 0, 0.0741017692786, 0.17496986862, 0.123260169666, 10.098314099, 7.70046599334
normal, you, 3, Select, Yes, 1.62679, 0.0, 0.00252487186416, 0.192574087366, 0.116004888987, 4.54357263644, 2.79296813753
normal, the, 3, Select, Yes, 1.06248, 0.0, 0.00924565504013, 0.198547934469, 0.237250135022, 5.23757482685, 4.92957498198
normal, price, 5, Select, Yes, 2.29057, 0.0, 0.035218191064, 0.245834673667, 0.314710188594, 17.1223551168, 7.4751503411
normal, of, 2, Match, Yes, 0.59746, 0, 1.720742801e-05, 0.272495546615, 0.402157982194, 4.75468438008, 7.95816352573
normal, gas, 3, Select, Yes, 1.6266, 0.0, 0.0165312882446, 0.252307601475, 0.28655209823, 6.7032635331, 4.12102762394
normal, is, 2, Select, Yes, 0.81349, 0.0, 0.00595653681571, 0.226661270199, 0.164638760503, 5.44136266322, 6.68891155788
normal, high, 4, Select, Yes, 1.01252, 0.0, 0.0197032682783, 0.150947673904, 0.0790021178071, 6.383687123, 6.30475163256
normal, hands, 5, Select, Yes, 1.67641, 0.0, 0.130522992867, 0.316263165818, 0.138203205071, 16.9905019348, 10.1350516489
normal, on, 2, Select, Yes, 0.46464, 0.0, 1.38427939601e-05, 0.259234920026, 0.165775335681, 2.74689228467, 5.91187216915
normal, experience, 10, Select, Yes, 4.01673, 0.0, 0.166875692374, 0.318278224464, 0.261060026096, 36.2921625431, 9.03525069972
normal, with, 4, Select, Yes, 1.22802, 0.0, 0.0433820388473, 0.0984028796581, 0.582940507528, 10.5139152402, 8.56168078711
normal, a, 1, Select, Yes, 0.01659, 0.0, 0.0, 0.290756164296, 0.290756164296, 0, 0.0
normal, job, 3, Select, Yes, 0.9459, 0.0, 0.004703663592, 0.0740028024132, 0.170835327778, 5.53841263776, 5.85517775426
