technique, word, len, class, correct, tapping_durations, selection_durations, point_distance, gesture_length
dwell, sends, 5, Undo, No, 5.199, 1.96, 0.153015491748, 11.0003923936
dwell, sends, 5, Undo, No, 11.1779, 1.0463, 0.321856218533, 11.0280363858
dwell, of, 2, Undo, No, 4.4973, 2.6553, 0.3928432026, 4.59827175926
dwell, what, 4, Undo, No, 4.3474, 0.531, 0.156656399443, 15.2713916848
dwell, thin, 4, Undo, No, 1.874, 0.812, 0.214123981523, 3.4961722064
dwell, the, 3, Click, Yes, 2.5907, 1.1296, 0.244314628054, 5.86848297086
dwell, king, 4, Click, Yes, 3.4053, 1.1792, 0.290826390847, 5.07206839694
dwell, sends, 5, Click, Yes, 4.2018, 1.063, 0.200079375386, 10.7331418532
dwell, you, 3, Click, Yes, 2.1924, 1.4616, 0.163150033864, 5.06946404247
dwell, to, 2, Click, Yes, 1.3454, 1.4945, 0.0689603554771, 4.048468336
dwell, the, 3, Click, Yes, 2.375, 1.3784, 0.265382073237, 5.17594763378
dwell, tower, 5, Click, Yes, 4.6499, 0.0, 0.128970137678, 12.6860176306
dwell, important, 9, Click, Yes, 8.6016, 0.8802, 0.240621162174, 23.02031057
dwell, news, 4, Click, Yes, 2.9726, 0.9632, 0.326493028475, 6.68334462845
dwell, always, 6, Click, Yes, 17.2372, 1.1457, 0.271860836069, 24.2461960172
dwell, seems, 5, Click, Yes, 5.3967, 2.6067, 0.179731500887, 11.3619299654
dwell, to, 2, Click, Yes, 1.1624, 1.5442, 0.328137893508, 3.80076165624
dwell, be, 2, Click, Yes, 1.0127, 1.013, 0.285929599453, 3.04309770131
dwell, late, 4, Click, No, 3.686, 0.9133, 0.37279007726, 13.5911169559
dwell, employee, 8, Click, No, 16.0387, 0.7305, 1.01402137456, 15.810197312
dwell, recruitment, 11, Click, No, 17.5161, 1.0292, 1.07226712347, 29.6131779993
dwell, takes, 5, Click, Yes, 4.5645, 1.2617, 0.146945882072, 17.5012662578
dwell, a, 1, Click, Yes, 1.5938, 2.4405, 0.105932736135, 0
dwell, lot, 3, Click, Yes, 2.0088, 0.996, 0.254690669891, 4.7385129847
dwell, of, 2, Click, Yes, 2.573, 2.54, 0.359001660654, 4.46836867546
dwell, effort, 6, Click, Yes, 5.8108, 0.0, 0.117202119074, 12.4670512244
dwell, an, 2, Click, Yes, 2.9715, 2.5402, 0.34505535022, 5.54798400446
dwell, excellent, 9, Click, No, 10.7077, 1.4939, 1.72881439334, 26.540781304
dwell, way, 3, Click, Yes, 2.3576, 1.1454, 0.136482003868, 5.67138802575
dwell, to, 2, Click, Yes, 1.1952, 1.3445, 0.223320517319, 3.74985129586
dwell, communicate, 11, Click, Yes, 15.4198, 0.0, 0.305514962126, 26.3583177321
dwell, this, 4, Click, Yes, 3.5517, 0.9462, 0.331537264282, 7.83973026231
dwell, watch, 5, Click, Yes, 5.7765, 2.8216, 0.317053050806, 9.79461604372
dwell, is, 2, Click, Yes, 1.2281, 1.0124, 0.368569735103, 5.70034355452
dwell, too, 3, Click, Yes, 6.523, 2.2409, 0.203943346725, 3.69146664367
dwell, expensive, 9, Click, Yes, 11.0213, 0.0, 0.227959008846, 35.3278840174
dwell, the, 3, Click, Yes, 4.9303, 1.0621, 0.339218109583, 5.69320413881
dwell, objective, 9, Click, Yes, 9.3265, 1.4936, 0.278804469396, 23.1820227582
dwell, of, 2, Click, Yes, 1.344, 0.9128, 0.223853414449, 4.58112767858
dwell, the, 3, Click, Yes, 1.9751, 1.1119, 0.235061980383, 5.23340102701
dwell, exercise, 8, Click, Yes, 7.3529, 0.0, 0.226074810499, 16.1262089929
dwell, just, 4, Click, Yes, 4.9787, 1.095, 0.177104722501, 7.98502495711
dwell, what, 4, Click, Yes, 3.0701, 0.9129, 0.145299413621, 12.8112630237
dwell, the, 3, Click, Yes, 11.7498, 1.1616, 0.140817127228, 4.89960224775
dwell, doctor, 6, Click, Yes, 6.124, 0.9128, 0.191745329091, 21.8769741981
dwell, ordered, 7, Click, Yes, 5.0281, 0.0, 0.202519015904, 9.35066505637
dwell, please, 6, Click, Yes, 5.2274, 1.0619, 0.293546181278, 11.8359854459
dwell, provide, 7, Select, Yes, 10.0723, 1.1448, 0.327238781001, 23.3752713539
dwell, your, 4, Click, Yes, 9.1265, 4.1319, 0.257101796017, 7.69144069743
dwell, date, 4, Click, Yes, 4.1152, 2.406, 0.237722484933, 8.2616294664
dwell, of, 2, Click, Yes, 1.6263, 1.0453, 0.238885608889, 4.48890498714
dwell, birth, 5, Click, No, 0.7134, 3.1527, 0, 0
dwell, , 0, Click, No, 4.5954, 0.0, 0, 8.4831957075
dwell, accompanied, 11, Click, No, 12.8614, 1.1782, 0.309049879178, 35.8636597216
dwell, by, 2, Click, Yes, 1.0954, 0.9626, 0.211391154675, 1.68012693709
dwell, an, 2, Click, Yes, 1.5433, 0.8962, 0.239973569218, 5.3708513132
dwell, adult, 5, Click, Yes, 4.5307, 0.0, 0.296187067098, 12.8507181885
dwell, we, 2, Click, Yes, 1.0287, 1.4273, 0.335520458536, 1.66757217268
dwell, better, 6, Click, Yes, 4.6967, 1.2614, 0.162355282682, 8.27169184068
dwell, investigate, 11, Click, No, 11.6168, 1.6929, 0.821183461402, 25.3771107693
dwell, this, 4, Click, Yes, 2.8388, 0.0, 0.157320182522, 8.75189760213
dwell, the, 3, Click, Yes, 1.9752, 1.0786, 0.207230548199, 5.04195525749
dwell, minimum, 7, Click, No, 16.2633, 1.659, 0.605987472419, 9.11661480986
dwell, amount, 6, Click, Yes, 11.0843, 1.0951, 0.252342757368, 15.5382336579
dwell, of, 2, Click, Yes, 1.1448, 0.9291, 0.245059767819, 4.63157578076
dwell, time, 4, Click, Yes, 4.1978, 0.0, 0.217307349911, 10.3123709199
dwell, consequences, 12, Click, Yes, 17.9184, 0.9126, 0.368664285529, 36.0413754136
dwell, of, 2, Click, Yes, 1.0122, 0.8295, 0.132216580822, 4.4023755194
dwell, a, 1, Click, No, 8.1464, 1.1613, 0.146106330352, 13.3355691165
dwell, wrong, 5, Click, No, 3.5162, 0.0, 2.91844495215, 9.10890646442
dwell, that, 4, Click, No, 3.4349, 1.676, 0.316557693228, 10.9107082645
dwell, is, 2, Click, Yes, 1.128, 0.9789, 0.215723571139, 5.39572784616
dwell, a, 1, Click, Yes, 0.0, 1.0123, 0.443262409768, 0
dwell, very, 4, Click, Yes, 2.8871, 1.2608, 0.173296716709, 5.45717018954
