user, technique, session, word, len, class, correct, tapping_durations, selection_durations, point_distance, gesture_length, word_length
gd, dwell, 1, sends, 5, Undo, No, 5.199, 1.96, 0.153015491748, 11.0003923936, 10.2302248884
gd, dwell, 1, sends, 5, Undo, No, 11.1779, 1.0463, 0.321856218533, 11.0280363858, 10.2302248884
gd, dwell, 1, of, 2, Undo, No, 1.7093, 2.6553, 0.3928432026, 4.59827175926, 4.60977222865
gd, dwell, 1, what, 4, Undo, No, 4.3474, 0.531, 0.156656399443, 15.2713916848, 13.2498271733
gd, dwell, 6, thin, 4, Undo, No, 1.874, 0.812, 0.214123981523, 3.4961722064, 5.84161925296
gd, dwell, 1, the, 3, Click, Yes, 2.5907, 1.1296, 0.244314628054, 5.86848297086, 5.44283058237
gd, dwell, 1, king, 4, Click, Yes, 3.4053, 1.1792, 0.290826390847, 5.07206839694, 5.15687760398
gd, dwell, 1, sends, 5, Click, Yes, 4.2018, 1.063, 0.200079375386, 10.7331418532, 10.2302248884
gd, dwell, 1, you, 3, Click, Yes, 2.1924, 1.4616, 0.163150033864, 5.06946404247, 5.0
gd, dwell, 1, to, 2, Click, Yes, 1.3454, 1.4945, 0.0689603554771, 4.048468336, 4.0
gd, dwell, 1, the, 3, Click, Yes, 2.375, 1.3784, 0.265382073237, 5.17594763378, 5.44283058237
gd, dwell, 1, tower, 5, Click, Yes, 4.6499, 0.0, 0.128970137678, 12.6860176306, 13.0
gd, dwell, 1, important, 9, Click, Yes, 8.6016, 0.8802, 0.240621162174, 23.02031057, 23.8870791379
gd, dwell, 1, news, 4, Click, Yes, 2.9726, 0.9632, 0.326493028475, 6.68334462845, 6.59016994375
gd, dwell, 1, always, 6, Click, Yes, 17.2372, 1.1457, 0.271860836069, 24.2461960172, 24.9342341372
gd, dwell, 1, seems, 5, Click, Yes, 5.3967, 2.6067, 0.179731500887, 11.3619299654, 12.0933687396
gd, dwell, 1, to, 2, Click, Yes, 1.1624, 1.5442, 0.328137893508, 3.80076165624, 4.0
gd, dwell, 1, be, 2, Click, Yes, 1.0127, 1.013, 0.285929599453, 3.04309770131, 3.60555127546
gd, dwell, 1, late, 4, Click, No, 3.686, 0.9133, 0.37279007726, 13.5911169559, 13.6400549446
gd, dwell, 1, employee, 8, Click, No, 16.0387, 0.7305, 1.01402137456, 15.810197312, 16.4496599094
gd, dwell, 1, recruitment, 11, Click, No, 17.5161, 1.0292, 1.07226712347, 29.6131779993, 28.5273471398
gd, dwell, 1, takes, 5, Click, Yes, 4.5645, 1.2617, 0.146945882072, 17.5012662578, 17.3482588771
gd, dwell, 1, a, 1, Click, Yes, 1.5938, 2.4405, 0.105932736135, 0, 0
gd, dwell, 1, lot, 3, Click, Yes, 2.0088, 0.996, 0.254690669891, 4.7385129847, 5.11803398875
gd, dwell, 1, of, 2, Click, Yes, 2.573, 2.54, 0.359001660654, 4.46836867546, 4.60977222865
gd, dwell, 1, effort, 6, Click, Yes, 5.8108, 0.0, 0.117202119074, 12.4670512244, 12.4125478664
gd, dwell, 1, an, 2, Click, Yes, 2.9715, 2.5402, 0.34505535022, 5.54798400446, 5.59016994375
gd, dwell, 1, excellent, 9, Click, No, 10.7077, 1.4939, 1.72881439334, 26.540781304, 25.6895774952
gd, dwell, 1, way, 3, Click, Yes, 2.3576, 1.1454, 0.136482003868, 5.67138802575, 5.7278062174
gd, dwell, 1, to, 2, Click, Yes, 1.1952, 1.3445, 0.223320517319, 3.74985129586, 4.0
gd, dwell, 1, communicate, 11, Click, Yes, 15.4198, 0.0, 0.305514962126, 26.3583177321, 26.8981420428
gd, dwell, 1, this, 4, Click, Yes, 3.5517, 0.9462, 0.331537264282, 7.83973026231, 9.19572121921
gd, dwell, 1, watch, 5, Click, Yes, 5.7765, 2.8216, 0.317053050806, 9.79461604372, 9.68673931446
gd, dwell, 1, is, 2, Click, Yes, 1.2281, 1.0124, 0.368569735103, 5.70034355452, 5.59016994375
gd, dwell, 1, too, 3, Click, Yes, 6.523, 2.2409, 0.203943346725, 3.69146664367, 4.0
gd, dwell, 1, expensive, 9, Click, Yes, 11.0213, 0.0, 0.227959008846, 35.3278840174, 37.3861664169
gd, dwell, 1, the, 3, Click, Yes, 4.9303, 1.0621, 0.339218109583, 5.69320413881, 5.44283058237
gd, dwell, 1, objective, 9, Click, Yes, 9.3265, 1.4936, 0.278804469396, 23.1820227582, 23.9242134971
gd, dwell, 1, of, 2, Click, Yes, 1.344, 0.9128, 0.223853414449, 4.58112767858, 4.60977222865
gd, dwell, 1, the, 3, Click, Yes, 1.9751, 1.1119, 0.235061980383, 5.23340102701, 5.44283058237
gd, dwell, 1, exercise, 8, Click, Yes, 7.3529, 0.0, 0.226074810499, 16.1262089929, 18.1803398875
gd, dwell, 1, just, 4, Click, Yes, 4.9787, 1.095, 0.177104722501, 7.98502495711, 8.42038862096
gd, dwell, 1, what, 4, Click, Yes, 3.0701, 0.9129, 0.145299413621, 12.8112630237, 13.2498271733
gd, dwell, 1, the, 3, Click, Yes, 1.9252, 1.1616, 0.140817127228, 4.89960224775, 5.44283058237
gd, dwell, 1, doctor, 6, Click, Yes, 6.124, 0.9128, 0.191745329091, 21.8769741981, 22.2114027284
gd, dwell, 1, ordered, 7, Click, Yes, 5.0281, 0.0, 0.202519015904, 9.35066505637, 10.3541019662
gd, dwell, 1, please, 6, Click, Yes, 5.2274, 1.0619, 0.293546181278, 11.8359854459, 11.6153168342
gd, dwell, 1, provide, 7, Select, Yes, 7.4008, 1.1448, 0.327238781001, 23.3752713539, 24.8054934479
gd, dwell, 1, your, 4, Click, Yes, 9.1265, 4.1319, 0.257101796017, 7.69144069743, 8.0
gd, dwell, 1, date, 4, Click, Yes, 4.1152, 2.406, 0.237722484933, 8.2616294664, 7.64005494464
gd, dwell, 1, of, 2, Click, Yes, 1.6263, 1.0453, 0.238885608889, 4.48890498714, 4.60977222865
gd, dwell, 1, birth, 5, Click, No, 0.7134, 3.1527, 0, 0, 9.63120276248
gd, dwell, 1, , 0, Click, No, 4.5954, 0.0, 0, 8.4831957075, 0
gd, dwell, 2, accompanied, 11, Click, No, 12.8614, 1.1782, 0.309049879178, 35.8636597216, 35.6451356073
gd, dwell, 2, by, 2, Click, Yes, 1.0954, 0.9626, 0.211391154675, 1.68012693709, 2.0
gd, dwell, 2, an, 2, Click, Yes, 1.5433, 0.8962, 0.239973569218, 5.3708513132, 5.59016994375
gd, dwell, 2, adult, 5, Click, Yes, 4.5307, 0.0, 0.296187067098, 12.8507181885, 12.9424095769
gd, dwell, 2, we, 2, Click, Yes, 1.0287, 1.4273, 0.335520458536, 1.66757217268, 1.0
gd, dwell, 2, better, 6, Click, Yes, 4.6967, 1.2614, 0.162355282682, 8.27169184068, 8.60555127546
gd, dwell, 2, investigate, 11, Click, No, 11.6168, 1.6929, 0.821183461402, 25.3771107693, 26.2077488428
gd, dwell, 2, this, 4, Click, Yes, 2.8388, 0.0, 0.157320182522, 8.75189760213, 9.19572121921
gd, dwell, 2, the, 3, Click, Yes, 1.9752, 1.0786, 0.207230548199, 5.04195525749, 5.44283058237
gd, dwell, 2, minimum, 7, Click, No, 13.9898, 1.659, 0.605987472419, 9.11661480986, 12.94427191
gd, dwell, 2, amount, 6, Click, Yes, 11.0843, 1.0951, 0.252342757368, 15.5382336579, 15.6409683212
gd, dwell, 2, of, 2, Click, Yes, 1.1448, 0.9291, 0.245059767819, 4.63157578076, 4.60977222865
gd, dwell, 2, time, 4, Click, Yes, 4.1978, 0.0, 0.217307349911, 10.3123709199, 10.3851648071
gd, dwell, 2, consequences, 12, Click, Yes, 17.9184, 0.9126, 0.368664285529, 36.0413754136, 36.7676360705
gd, dwell, 2, of, 2, Click, Yes, 1.0122, 0.8295, 0.132216580822, 4.4023755194, 4.60977222865
gd, dwell, 2, a, 1, Click, No, 8.1464, 1.1613, 0.146106330352, 13.3355691165, 0
gd, dwell, 2, wrong, 5, Click, No, 3.5162, 0.0, 2.91844495215, 9.10890646442, 11.6312027625
gd, dwell, 2, that, 4, Click, No, 3.4349, 1.676, 0.316557693228, 10.9107082645, 10.4428305824
gd, dwell, 2, is, 2, Click, Yes, 1.128, 0.9789, 0.215723571139, 5.39572784616, 5.59016994375
gd, dwell, 2, a, 1, Click, Yes, 0.0, 1.0123, 0.443262409768, 0, 0
gd, dwell, 2, very, 4, Click, Yes, 2.8871, 1.2608, 0.173296716709, 5.45717018954, 5.82842712475
gd, dwell, 2, odd, 3, Click, Yes, 1.9411, 2.9038, 0.163386048303, 6.13824367346, 5.59016994375
gd, dwell, 2, question, 8, Select, No, 12.0619, 1.659, 0.341136380552, 21.4063420731, 20.6390435171
gd, dwell, 2, insurance, 9, Click, Yes, 9.8033, 0.929, 0.242918136313, 27.0190464891, 27.9744327596
gd, dwell, 2, is, 2, Click, Yes, 1.2773, 1.0119, 0.280454175759, 5.97991051225, 5.59016994375
gd, dwell, 2, important, 9, Click, Yes, 8.5763, 1.0949, 0.263997496044, 21.9098312207, 23.8870791379
gd, dwell, 2, for, 3, Click, Yes, 2.2726, 1.161, 0.164278024069, 9.43760610422, 9.60977222865
gd, dwell, 2, bad, 3, Select, Yes, 3.4499, 3.8648, 0.447066352755, 6.40499105831, 6.60977222865
gd, dwell, 2, drivers, 7, Click, Yes, 8.775, 0.0, 0.306704784947, 13.137651922, 14.3547880267
gd, dwell, 2, we, 2, Click, Yes, 1.1449, 1.5593, 0.316054014895, 1.5662681538, 1.0
gd, dwell, 2, accept, 6, Click, No, 5.6402, 0.8791, 0.334423576137, 18.6964443636, 16.9286503811
gd, dwell, 2, personal, 8, Click, Yes, 8.0282, 1.1277, 0.193587885696, 33.2180326683, 32.7978459252
gd, dwell, 2, checks, 6, Click, Yes, 5.1587, 0.0, 0.28445624826, 17.5730192201, 19.1784775544
gd, dwell, 2, important, 9, Click, No, 16.571, 1.0781, 1.70902453555, 24.8579371692, 23.8870791379
gd, dwell, 2, for, 3, Select, Yes, 2.288, 0.813, 0.274393854861, 9.00978227642, 9.60977222865
gd, dwell, 2, political, 9, Click, Yes, 8.723, 1.36, 0.267257010473, 22.8568569304, 25.085527985
gd, dwell, 2, parties, 7, Select, Yes, 6.335, 1.46, 0.284203851394, 20.1139474501, 21.3692377766
gd, dwell, 3, most, 4, Click, Yes, 3.383, 1.028, 0.114383581236, 11.2269573244, 11.5051236
gd, dwell, 3, judges, 6, Click, Yes, 4.975, 1.061, 0.249222088457, 9.96474738738, 10.5687053257
gd, dwell, 3, are, 3, Click, Yes, 1.857, 1.028, 0.169941381166, 4.20670290676, 3.69258240357
gd, dwell, 3, very, 4, Click, Yes, 3.234, 1.41, 0.226423483044, 6.14868302189, 5.82842712475
gd, dwell, 3, honest, 6, Click, Yes, 5.903, 0.0, 0.280158055084, 12.429864944, 13.8037618756
gd, dwell, 3, a, 1, Click, Yes, 0.0, 1.195, 0.0764102912768, 0, 0
gd, dwell, 3, dog, 3, Click, Yes, 2.587, 1.078, 0.279090059531, 9.20421538325, 9.23022488839
gd, dwell, 3, is, 2, Click, Yes, 1.227, 0.928, 0.305788424468, 4.99043109454, 5.59016994375
gd, dwell, 3, the, 3, Click, Yes, 2.273, 0.962, 0.117852540793, 5.74330434613, 5.44283058237
gd, dwell, 3, best, 4, Click, Yes, 2.786, 0.863, 0.185641371332, 7.27676272818, 7.41616766778
