technique, size, speed, word, len, class, correct, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
normal, 0.6, 1.5, presidential, 12, Undo, No, 8.9337, 0, 0.871463891711, 0.0595484651356, 1.49698237819, 49.7427211073, 5.56798651257
normal, 0.6, 1.5, yard, 4, Undo, No, 2.4734, 0, 0.767299397083, 0.340597353945, 0.585353711967, 10.7545771809, 4.3480945989
normal, 0.6, 1.5, with, 4, Undo, No, 2.3902, 0, 0.818723578296, 0.293607489993, 0.398852034923, 13.9496823233, 5.83619877973
normal, 0.8, 1.5, requires, 8, Undo, No, 4.4466, 0, 1.30033340266, 0.141667765889, 0.438910514989, 25.9490236514, 5.83570000705
normal, 0.4, 1.5, crime, 5, Undo, No, 4.944, 0, 1.04941499403, 0.294321823537, 0.366330502237, 15.294325401, 3.0935124193
normal, 0.4, 1.5, expensive, 9, Undo, No, 7.365, 0, 1.11488458577, 0.624996132604, 0.218120934919, 45.4636241966, 6.17292928671
normal, 0.6, 2.0, dress, 5, Undo, No, 1.576, 0, 0.887669859676, 0.436541766695, 0.101171948904, 6.05007545458, 3.83888036458
normal, 0.6, 2.0, to, 2, Undo, No, 0.05, 0, 1.09674560165, 2.37750355723, 1.64977670145, 0, 0.0
normal, 0.6, 2.0, persistent, 10, Undo, No, 24.846, 0, 1.13841708647, 0.327795446492, 0.296335366355, 38.8046877506, 1.56180824884
normal, 0.6, 2.0, very, 4, Undo, No, 1.659, 4.211, 0.148789785748, 0.262668030679, 0.198570003943, 5.15104755123, 3.1049111219
normal, 0.8, 2.0, fox, 3, Undo, No, 2.438, 0, 1.18399451098, 0.186410750613, 0.786711497693, 13.9458135625, 5.72018603878
normal, 0.4, 2.0, the, 3, Undo, No, 0.366, 0, 0.999471955696, 0.232657553853, 2.4628462062, 0.447218402416, 1.22190820332
normal, 0.4, 2.0, to, 2, Undo, No, 1.824, 0, 0.2896429649, 0.19196264265, 0.203883325785, 4.89010379768, 2.68097795926
normal, 0.4, 2.0, made, 4, Undo, No, 3.498, 0, 0.811124519066, 0.414573615863, 0.177166613652, 11.6830256681, 3.33991585708
normal, 0.6, 1.0, way, 3, Undo, No, 2.04, 0, 1.13978772081, 0.384793234753, 0.137744651384, 9.35472940127, 4.58565166729
normal, 0.8, 1.0, want, 4, Undo, No, 3.497, 0, 1.31258506879, 0.118845873988, 0.297837359383, 12.7360057293, 3.64198047734
normal, 0.4, 1.0, from, 4, Undo, No, 2.056, 0, 0.445001929556, 0.32750046761, 0.0659579652885, 8.63258056238, 4.19872595446
normal, 0.4, 1.0, you, 3, Undo, No, 2.023, 0, 0.900076112887, 0.234969686541, 0.255119754972, 8.44940067766, 4.17666864936
normal, 0.4, 1.0, will, 4, Undo, No, 1.392, 0, 0.648042974354, 1.0617911461, 0.147547151233, 6.97296086959, 5.00931096954
normal, 0.6, 1.5, this, 4, Match, Yes, 2.2086, 0, 0.408739817147, 0.657396601406, 0.531002555693, 9.80330547719, 4.43869667535
normal, 0.6, 1.5, leather, 7, Match, Yes, 11.1108, 0, 0.764925549892, 0.19687085747, 0.36048962038, 24.2705672115, 2.18441221258
normal, 0.6, 1.5, jacket, 6, Match, Yes, 4.567, 0, 0.58038638135, 0.174763896915, 0.151834409967, 25.5881135623, 5.60282758097
normal, 0.6, 1.5, is, 2, Match, Yes, 1.5445, 0, 0.35564480193, 0.208684149801, 0.292794425748, 5.81285677056, 3.7635848304
normal, 0.6, 1.5, too, 3, Select, Yes, 1.1127, 2.1257, 0.180035752695, 0.194155413399, 0.244479539539, 4.20289794624, 3.77720674597
normal, 0.6, 1.5, warm, 4, Match, Yes, 5.0983, 0, 0.268842967802, 0.269224060073, 0.183112759058, 9.47212747655, 1.85789919709
normal, 0.6, 1.5, the, 3, Match, Yes, 1.6439, 0, 0.366727305989, 0.18150059774, 0.217406532032, 7.11156216788, 4.32603088258
normal, 0.6, 1.5, presidential, 12, Match, Yes, 8.9494, 0, 0.711366687694, 0.667969077072, 0.223758695192, 45.5666248446, 5.09158433466
normal, 0.6, 1.5, suite, 5, Match, Yes, 19.0118, 0, 0.224963896265, 0.195266373513, 0.166542739515, 11.1746180134, 0.587772752363
normal, 0.6, 1.5, is, 2, Match, Yes, 1.0627, 0, 0.205408983842, 0.128400643768, 0.232364812934, 5.51589631669, 5.19045480068
normal, 0.6, 1.5, very, 4, Match, Yes, 1.8595, 0, 0.354424979283, 0.198675584192, 0.58012488548, 6.83683880453, 3.67670814979
normal, 0.6, 1.5, busy, 4, Match, Yes, 2.9718, 0, 0.743831139697, 0.152825566333, 0.267357621677, 12.3600485086, 4.15911182064
normal, 0.6, 1.5, the, 3, Match, Yes, 1.328, 0, 0.193732580845, 0.124234698358, 0.18838832501, 6.36378909309, 4.79200985925
normal, 0.6, 1.5, back, 4, Match, Yes, 2.49, 0, 0.541829419635, 0.545796842168, 0.22213187233, 13.4800825679, 5.41368777826
normal, 0.6, 1.5, yard, 4, Match, Yes, 2.3574, 0, 0.386852252887, 0.0542668674239, 0.337061425052, 10.7419061922, 4.5566752321
normal, 0.6, 1.5, of, 2, Select, Yes, 7.8022, 1.5602, 1.28045896331, 0.331564980989, 0.122603532975, 8.1308597645, 1.04212398612
normal, 0.6, 1.5, our, 3, Match, Yes, 3.2039, 0, 0.373408383096, 0.155333791366, 0.334180589869, 6.04387298061, 1.88641124274
normal, 0.6, 1.5, house, 5, Select, Yes, 2.7724, 1.4441, 0.270219269825, 0.13006521909, 0.170555610169, 9.75177972076, 3.51745048361
normal, 0.6, 1.5, universities, 12, Match, Yes, 8.5162, 0, 0.476142005597, 0.153271987819, 0.206877064666, 33.765881104, 3.96489996759
normal, 0.6, 1.5, are, 3, Match, Yes, 1.1288, 0, 0.249360834443, 0.0326746755124, 0.520559166221, 3.81586755022, 3.38046381132
normal, 0.6, 1.5, too, 3, Select, Yes, 1.7759, 1.8422, 0.431648108107, 0.16419911128, 0.179707443858, 5.42477629446, 3.05466315359
normal, 0.6, 1.5, expensive, 9, Match, Yes, 8.8471, 0, 0.488227124093, 0.51665547914, 0.20960042113, 41.1368731875, 4.64975790795
normal, 0.6, 1.5, the, 3, Match, Yes, 1.3446, 0, 0.163468227676, 0.178424481406, 0.133874061715, 5.56335482617, 4.1375537901
normal, 0.6, 1.5, force, 5, Select, Yes, 3.5188, 2.3901, 0.754131729037, 0.186306446952, 0.391529765683, 15.141957078, 4.30315933784
normal, 0.6, 1.5, is, 2, Match, Yes, 2.3736, 0, 0.179828363818, 0.104244539521, 0.311590043687, 5.39705053652, 2.27378266621
normal, 0.6, 1.5, with, 4, Select, Yes, 2.6555, 1.6763, 0.711187022263, 0.51550126265, 0.513661259596, 13.0412546686, 4.91103546172
normal, 0.6, 1.5, you, 3, Match, Yes, 8.4975, 0, 0.235442736535, 0.159551420075, 0.433217833665, 5.5221937368, 0.649860986973
normal, 0.6, 1.5, the, 3, Match, Yes, 1.3943, 0, 0.190525599684, 0.114016717147, 0.071294138055, 5.18544887902, 3.71903383706
normal, 0.6, 1.5, power, 5, Match, Yes, 2.4229, 0, 0.357345385661, 0.291133630933, 0.350057230615, 11.4330713025, 4.7187549228
normal, 0.6, 1.5, of, 2, Select, Yes, 1.2613, 1.6761, 0.336469060659, 0.235940555575, 0.407257244411, 4.52571827029, 3.58813785007
normal, 0.6, 1.5, denial, 6, Match, Yes, 5.5427, 0, 0.356710856801, 0.421797077591, 0.0611920092577, 22.8518552572, 4.12287427738
normal, 0.6, 1.5, consequences, 12, Match, Yes, 8.7772, 0, 1.27029949273, 0.63363179646, 0.0469282901137, 42.4071726164, 4.83151490412
normal, 0.6, 1.5, of, 2, Select, Yes, 1.1117, 1.2778, 0.450963172943, 0.242867229119, 0.189482970182, 5.30817022869, 4.77482254987
normal, 0.6, 1.5, a, 1, Match, Yes, 1.3938, 0, 0.34469603149, 0.34469603149, 0.34469603149, 0, 0.0
normal, 0.6, 1.5, wrong, 5, Match, Yes, 3.4344, 0, 0.44995025101, 0.295504645014, 0.377748358446, 12.4637378116, 3.6290874131
normal, 0.6, 1.5, turn, 4, Match, Yes, 2.7877, 0, 0.309032484848, 0.211612569027, 0.149095603922, 9.97305785841, 3.57752192073
normal, 0.6, 1.5, the, 3, Match, Yes, 1.6426, 0, 0.14033914814, 0.203100081509, 0.120539473887, 5.35580216761, 3.26056384245
normal, 0.6, 1.5, accident, 8, Match, Yes, 5.6914, 0, 0.510635732098, 0.49556149631, 0.442201568631, 22.1083227198, 3.88451395434
normal, 0.6, 1.5, scene, 5, Match, Yes, 3.4512, 0, 0.427055672675, 0.155243098568, 0.107604791422, 14.7844163521, 4.28384803896
normal, 0.6, 1.5, is, 2, Match, Yes, 0.9958, 0, 0.0901082966627, 0.088525512735, 0.36227776608, 5.7281747652, 5.7523345704
normal, 0.6, 1.5, a, 1, Match, Yes, 0.0167, 0, 0.320294458588, 0.320294458588, 0.320294458588, 0, 0.0
normal, 0.6, 1.5, shrine, 6, Match, Yes, 4.1812, 0, 0.369970230324, 0.348687164186, 0.144116535352, 17.9892703624, 4.3024180528
normal, 0.6, 1.5, for, 3, Select, Yes, 1.742, 2.0933, 0.253441731909, 0.0886179548399, 0.240822954658, 9.18904519072, 5.27499723922
normal, 0.6, 1.5, fans, 4, Match, Yes, 3.5982, 0, 0.256814934052, 0.249175881259, 0.094203916633, 13.7950156246, 3.83386571746
normal, 0.8, 1.5, he, 2, Match, Yes, 1.0289, 0, 0.372059913987, 0.180704944938, 0.328319942035, 3.6858463695, 3.58231739673
normal, 0.8, 1.5, is, 2, Select, Yes, 1.7259, 1.6097, 0.360169408236, 0.501374671882, 0.144690885746, 6.31156121195, 3.65696808155
normal, 0.8, 1.5, still, 5, Match, Yes, 4.0991, 0, 0.312217084438, 0.13207501872, 0.106231836532, 9.45460166293, 2.30650671194
normal, 0.8, 1.5, on, 2, Match, Yes, 0.7802, 0, 0.191971360856, 0.173092162879, 0.375943317621, 3.16984517677, 4.06286231322
normal, 0.8, 1.5, our, 3, Select, Yes, 1.1287, 2.1905, 0.45837997528, 0.0949818493029, 0.659576956924, 6.12667452286, 5.42808055539
normal, 0.8, 1.5, team, 4, Select, Yes, 3.9331, 3.3852, 0.500406364758, 0.236718721951, 0.170935903429, 11.1567904981, 2.83664043581
normal, 0.8, 1.5, the, 3, Select, Yes, 1.2282, 1.4767, 0.204552460923, 0.13209471212, 0.108588249622, 5.97790881394, 4.86721121474
normal, 0.8, 1.5, music, 5, Match, Yes, 5.3433, 0, 0.394117263454, 0.0998377026278, 0.416893546184, 17.3980431269, 3.25604834594
normal, 0.8, 1.5, is, 2, Match, Yes, 1.2117, 0, 0.156241838127, 0.109265041733, 0.399188389343, 5.59868964002, 4.62052458531
normal, 0.8, 1.5, better, 6, Match, Yes, 2.5721, 0, 0.6266979827, 0.103284882364, 0.607461087466, 10.7180887667, 4.16705756647
normal, 0.8, 1.5, than, 4, Match, Yes, 2.4227, 0, 0.416412011148, 0.354858627031, 0.153849325982, 13.5357557246, 5.5870539995
normal, 0.8, 1.5, it, 2, Match, Yes, 0.7635, 0, 0.194897948767, 0.259515271275, 0.315411047221, 3.20834240319, 4.20215115021
normal, 0.8, 1.5, sounds, 6, Match, Yes, 3.75, 0, 0.237018892196, 0.198584909824, 0.269059115179, 16.1245058332, 4.2998682222
normal, 0.8, 1.5, an, 2, Match, Yes, 1.1451, 0, 0.324343612715, 0.145115557071, 0.345190111591, 5.69718506237, 4.9752729564
normal, 0.8, 1.5, occasional, 10, Match, Yes, 7.8991, 0, 0.353739794663, 0.142688041493, 0.233826962209, 33.513227923, 4.24266409123
normal, 0.8, 1.5, taste, 5, Match, Yes, 2.771, 0, 0.166373892283, 0.204849635103, 0.182595653697, 10.9797274211, 3.96237005454
normal, 0.8, 1.5, of, 2, Select, Yes, 1.1283, 1.6595, 0.330255174429, 0.255779491979, 0.491643116837, 5.42102926403, 4.80459918818
normal, 0.8, 1.5, chocolate, 9, Match, Yes, 7.5998, 0, 0.576710533251, 0.324428353516, 0.50013544428, 33.6644753103, 4.42965279484
normal, 0.8, 1.5, traveling, 9, Match, Yes, 6.254, 0, 0.406394377275, 0.196719345304, 0.160534409651, 24.3526593117, 3.89393337251
normal, 0.8, 1.5, requires, 8, Match, Yes, 4.7449, 0, 0.314889756696, 0.201918411964, 0.158077539366, 16.182388184, 3.41048034395
normal, 0.8, 1.5, a, 1, Match, Yes, 8.7923, 0, 0.0547928414865, 0.0547928414865, 0.0547928414865, 0, 0.0
normal, 0.8, 1.5, lot, 3, Match, Yes, 1.3602, 0, 0.168002884631, 0.223381784416, 0.23480769359, 4.52123953891, 3.32395202096
normal, 0.8, 1.5, of, 2, Select, Yes, 0.8961, 1.5925, 0.458543658581, 0.11496759426, 0.384150959507, 5.30475922983, 5.91982951661
normal, 0.8, 1.5, fuel, 4, Match, Yes, 3.65, 0, 0.28688080937, 0.0691560063697, 0.375029829206, 13.2028084447, 3.61720779307
normal, 0.8, 1.5, do, 2, Match, Yes, 1.1447, 0, 0.15574634206, 0.218400974398, 0.191138718937, 5.2221189898, 4.56199789447
normal, 0.8, 1.5, you, 3, Match, Yes, 1.3109, 0, 0.215984977133, 0.0813189289465, 0.420937279424, 4.8931252098, 3.73264567076
normal, 0.8, 1.5, like, 4, Match, Yes, 1.8249, 0, 0.236890021257, 0.352172142347, 0.126356800027, 8.62547882174, 4.72654875431
normal, 0.8, 1.5, to, 2, Match, Yes, 0.9125, 0, 0.309482240829, 0.0961763311631, 0.405260379435, 3.82702548241, 4.19400052867
normal, 0.8, 1.5, go, 2, Match, Yes, 1.0285, 0, 0.208526538339, 0.184230311686, 0.390591355178, 3.49691876148, 3.40001824159
normal, 0.8, 1.5, camping, 7, Match, Yes, 4.0486, 0, 0.515468714989, 0.480645692735, 0.415077321676, 19.5352483104, 4.82518606688
normal, 0.8, 1.5, the, 3, Match, Yes, 1.377, 0, 0.248131297161, 0.141799043103, 0.150951559598, 5.86357475305, 4.25822422153
normal, 0.8, 1.5, fourth, 6, Match, No, 2.6047, 0, 0.28068838124, 0.225350486745, 0.193226855155, 12.4033997136, 4.76193024673
normal, 0.8, 1.5, edition, 7, Match, Yes, 3.8821, 0, 0.397992839554, 0.115234600468, 0.606449239058, 17.0320522274, 4.3873295967
normal, 0.8, 1.5, was, 3, Match, Yes, 1.1284, 0, 0.234539543803, 0.303716251144, 0.416352994197, 1.8939434374, 1.67843268114
normal, 0.8, 1.5, better, 6, Match, Yes, 2.8533, 0, 0.635319271865, 0.0911796499445, 0.475162617017, 9.6374666563, 3.3776562774
normal, 0.8, 1.5, this, 4, Match, Yes, 2.4052, 0, 0.419715162676, 0.197452267196, 0.33061403668, 10.5416606072, 4.38286238451
normal, 0.8, 1.5, is, 2, Select, Yes, 0.9124, 2.0074, 0.391052753596, 0.310836641278, 0.409181765425, 5.73640311442, 6.28715817012
normal, 0.8, 1.5, too, 3, Select, Yes, 2.2895, 1.892, 0.0933573848892, 0.107205833209, 0.0617065889918, 4.03907066603, 1.76417150733
normal, 0.8, 1.5, much, 4, Match, Yes, 3.9477, 0, 0.639990493898, 0.20354995621, 0.591368650178, 11.4171264706, 2.89209576984
normal, 0.8, 1.5, to, 2, Match, Yes, 0.9623, 0, 0.19487208574, 0.113101212589, 0.233181647584, 4.16598121556, 4.32919174432
normal, 0.8, 1.5, handle, 6, Match, Yes, 4.9267, 0, 0.259428345992, 0.301646644942, 0.118924716733, 28.4639922073, 5.77749654074
normal, 0.8, 1.5, you, 3, Match, Yes, 1.3271, 0, 0.473232722695, 0.0579459446381, 0.926489338888, 5.87933650951, 4.43021363086
normal, 0.8, 1.5, must, 4, Select, Yes, 1.8744, 2.8859, 0.415589515203, 0.394764767427, 0.106577721054, 9.49077848724, 5.06336880455
normal, 0.8, 1.5, make, 4, Select, Yes, 4.5946, 3.2839, 0.427781284692, 0.191357355521, 0.335331650694, 20.1808322855, 4.39229362415
normal, 0.8, 1.5, an, 2, Match, Yes, 2.1061, 0, 0.185996868156, 0.314280315724, 0.197635601616, 5.64372352964, 2.67970349444
normal, 0.8, 1.5, appointment, 11, Match, Yes, 6.635, 0, 0.513961888786, 0.235218805517, 0.370333579797, 33.5736992745, 5.0600903202
normal, 0.4, 1.5, a, 1, Select, Yes, 0.0995999999999, 1.626, 0.349548206228, 0.349548206228, 0.349548206228, 0, 0.0
normal, 0.4, 1.5, yard, 4, Select, Yes, 3.5507, 2.0242, 1.15786334958, 0.154518635569, 0.220496012891, 13.5881468156, 3.8268923918
normal, 0.4, 1.5, is, 2, Match, Yes, 4.2804, 0, 0.204898813256, 0.0874810971353, 0.248443797653, 6.05342087354, 1.41421850143
normal, 0.4, 1.5, almost, 6, Match, Yes, 4.131, 0, 0.422279319786, 0.272485436758, 0.242586001733, 24.7827306548, 5.99920858262
normal, 0.4, 1.5, as, 2, Select, Yes, 0.697, 1.8582, 0.388061069519, 0.311123439876, 0.372230999092, 1.19898159122, 1.72020314378
normal, 0.4, 1.5, a, 1, Match, Yes, 1.3935, 0, 0.237316534694, 0.251460505012, 0.224169215014, 0.0468372799061, 0.0336112521752
normal, 0.4, 1.5, meter, 5, Select, Yes, 2.6542, 3.3012, 0.459842609743, 0.374590468908, 0.387964643049, 10.9751201346, 4.13500118101
normal, 0.4, 1.5, the, 3, Select, Yes, 1.9244, 2.1066, 0.31837215442, 0.402428936894, 0.14861867097, 6.27055489835, 3.25844673579
normal, 0.4, 1.5, punishment, 10, Match, Yes, 7.8469, 0, 0.692220241832, 0.0741640109083, 0.125993943446, 31.2010325324, 3.97622405439
normal, 0.4, 1.5, should, 6, Match, Yes, 3.716, 0, 0.383276694752, 0.278987425941, 0.203091357226, 19.5903899495, 5.27190256984
normal, 0.4, 1.5, fit, 3, Select, Yes, 2.1076, 2.2557, 0.607443754989, 0.521787827533, 0.254073979055, 7.95895272257, 3.77631083819
normal, 0.4, 1.5, the, 3, Select, Yes, 3.0194, 2.8867, 0.223061664427, 0.0868976628685, 0.211282342381, 5.40221761758, 1.78916924475
normal, 0.4, 1.5, crime, 5, Match, Yes, 2.7867, 0, 0.351307182211, 0.101409346024, 0.294852313303, 15.2460738332, 5.47101368402
normal, 0.4, 1.5, frequently, 10, Match, Yes, 6.1708, 0, 0.940626419263, 0.263211134027, 0.181862528403, 34.2731487622, 5.55408516921
normal, 0.4, 1.5, asked, 5, Select, Yes, 3.3181, 2.6213, 0.46928556362, 0.171682345495, 0.0374676073429, 17.7121377727, 5.33803615706
normal, 0.4, 1.5, questions, 9, Match, Yes, 6.62, 0, 0.532268802493, 0.137113066925, 0.379795365598, 29.1710069618, 4.40649651991
normal, 0.4, 1.5, what, 4, Match, Yes, 2.704, 0, 0.322035417313, 0.360007906737, 0.176565536867, 14.7251439018, 5.44568931278
normal, 0.4, 1.5, you, 3, Select, Yes, 1.493, 2.107, 0.43989844379, 0.374678395048, 0.782236789792, 5.53937981507, 3.71023430346
normal, 0.4, 1.5, see, 3, Match, Yes, 2.422, 0, 0.130365628737, 0.30583669716, 0.044119588212, 0.822992649113, 0.339798781632
normal, 0.4, 1.5, is, 2, Match, Yes, 1.195, 0, 0.144398166219, 0.168598639725, 0.118034869916, 5.47904023806, 4.58497091051
normal, 0.4, 1.5, what, 4, Select, Yes, 2.389, 1.958, 0.306661696087, 0.213969419939, 0.336330915191, 12.627646905, 5.28574587905
