user,session, Match  No, Match  Yes, Select  No, Select  Yes, Undo  No, Undo  Yes
gyz,1,1,44,0,4,0,0
gyz,2,1,42,0,6,0,0
gyz,3,0,46,0,3,1,0
gyz,4,2,43,0,4,0,0
gyz,5,2,44,0,3,0,0
gyz,6,2,45,0,2,0,0
gyz,7,2,45,0,2,0,0
gyz,8,2,45,0,2,0,0
lmy,1,1,42,0,6,2,1
lmy,2,0,45,0,4,0,0
lmy,3,0,45,0,4,0,0
lmy,4,1,47,0,1,4,0
lmy,5,2,45,0,2,5,1
lmy,6,1,45,0,3,2,1
lmy,7,2,43,0,4,1,0
lmy,8,1,44,0,4,0,0
lyb,1,0,40,0,8,6,0
lyb,2,0,45,0,5,11,0
lyb,3,1,36,1,7,2,0
lyb,4,3,42,1,3,10,0
lyb,5,1,43,0,5,7,0
lyb,6,3,37,0,8,5,0
lyb,7,1,34,2,12,5,0
lyb,8,1,45,0,3,0,0
lyq,1,1,40,0,8,4,0
lyq,2,1,42,0,6,2,0
lyq,3,0,44,0,5,0,0
lyq,4,1,40,0,8,1,0
lyq,5,0,44,0,5,1,0
lyq,6,1,44,0,4,5,0
lyq,7,0,44,0,5,2,0
lyq,8,0,41,0,8,3,0
wq,1,0,40,0,9,4,0
wq,2,0,38,1,10,1,0
wq,3,1,42,0,6,1,1
wq,4,2,35,0,12,3,0
wq,5,0,39,0,10,2,0
wq,6,0,37,0,12,5,0
wq,7,1,37,0,11,4,0
wq,8,1,34,0,14,1,0
wzr,1,3,36,0,10,5,0
wzr,2,1,36,1,11,3,0
wzr,3,0,39,0,10,3,0
wzr,4,0,39,0,10,3,0
wzr,5,2,33,0,14,8,0
wzr,6,2,36,0,11,7,0
wzr,7,0,42,0,7,5,0
wzr,8,0,33,0,16,5,0
xwj,1,0,42,0,7,0,0
xwj,2,0,40,0,9,0,0
xwj,3,0,45,0,4,0,0
xwj,4,0,45,0,4,0,0
xwj,5,0,38,0,5,0,0
xwj,6,1,46,0,2,0,0
xwj,7,3,45,0,1,0,0
xwj,8,1,48,0,0,0,0
xy,1,1,41,0,7,2,1
xy,2,0,42,0,7,1,0
xy,3,1,36,0,6,0,0
xy,4,0,44,1,4,3,0
xy,5,0,42,0,7,2,0
xy,6,1,44,0,4,2,0
xy,7,0,45,0,4,3,1
xy,8,0,44,0,5,8,3
yyk,1,1,45,0,3,0,0
yyk,2,1,42,0,6,0,0
yyk,3,2,41,0,6,0,0
yyk,4,3,46,0,0,0,0
yyk,5,1,45,0,3,0,0
yyk,6,0,46,0,3,0,0
yyk,7,2,47,0,0,0,0
yyk,8,1,48,0,0,0,0
yzc,1,1,39,0,9,3,0
yzc,2,0,45,0,4,3,0
yzc,3,2,41,0,6,1,0
yzc,4,0,42,0,7,0,0
yzc,5,1,38,0,10,1,0
yzc,6,1,38,1,9,1,0
yzc,7,1,42,0,6,1,0
yzc,8,2,42,0,5,0,0
zmy,1,4,37,0,8,0,0
zmy,2,1,44,0,4,0,0
zmy,3,0,43,0,6,0,0
zmy,4,1,45,0,3,0,0
zmy,5,0,44,0,5,1,0
zmy,6,1,44,0,4,0,0
zmy,7,1,44,0,4,0,0
zmy,8,0,46,0,3,0,0
zpj,1,0,40,1,8,9,0
zpj,2,0,41,0,8,1,0
zpj,3,0,45,0,4,0,0
zpj,4,0,44,0,5,0,0
zpj,5,0,43,0,6,0,0
zpj,6,1,43,0,5,0,0
zpj,7,0,47,0,2,0,0
zpj,8,0,49,0,0,0,0
