user,len, Match  No, Match  Yes, Select  No, Select  Yes, Undo  No, Undo  Yes
gyz,2,2,74,0,4,0,0
gyz,3,2,68,0,10,0,0
gyz,4,2,56,0,6,0,0
gyz,5,0,47,0,1,0,0
gyz,6,0,16,0,0,0,0
gyz,7,2,21,0,1,1,0
gyz,8,1,22,0,1,0,0
gyz,9,3,35,0,2,0,0
gyz,10,0,15,0,1,0,0
lmy,2,1,74,0,5,2,1
lmy,3,0,71,0,9,6,0
lmy,4,1,57,0,6,1,1
lmy,5,0,45,0,3,1,0
lmy,6,0,15,0,1,0,0
lmy,7,1,23,0,0,3,0
lmy,8,0,22,0,2,0,0
lmy,9,5,33,0,2,0,1
lmy,10,0,16,0,0,1,0
lyb,1,0,2,0,0,0,0
lyb,2,1,69,1,12,6,0
lyb,3,1,63,0,11,13,0
lyb,4,1,50,1,11,8,0
lyb,5,1,31,2,5,9,0
lyb,6,0,18,0,1,1,0
lyb,7,2,31,0,0,3,0
lyb,8,0,17,0,4,1,0
lyb,9,4,26,0,6,4,0
lyb,10,0,14,0,1,1,0
lyb,11,0,1,0,0,0,0
lyq,2,1,71,0,8,3,0
lyq,3,0,66,0,14,1,0
lyq,4,3,47,0,14,5,0
lyq,5,0,44,0,4,5,0
lyq,6,0,14,0,2,0,0
lyq,7,0,24,0,0,2,0
lyq,8,0,22,0,2,0,0
lyq,9,0,36,0,4,2,0
lyq,10,0,15,0,1,0,0
wq,2,1,62,0,17,3,0
wq,3,0,55,0,25,4,0
wq,4,2,42,0,20,3,0
wq,5,0,39,0,9,3,0
wq,6,0,15,0,1,0,0
wq,7,1,20,0,3,2,1
wq,8,1,20,1,2,4,0
wq,9,0,33,0,7,2,0
wq,10,0,16,0,0,0,0
wzr,2,1,67,1,11,3,0
wzr,3,0,55,0,25,11,0
wzr,4,0,45,0,19,12,0
wzr,5,2,41,0,5,4,0
wzr,6,0,16,0,0,2,0
wzr,7,0,21,0,3,4,0
wzr,8,2,1,0,21,2,0
wzr,9,3,32,0,5,1,0
wzr,10,0,16,0,0,0,0
xwj,2,1,66,0,11,0,0
xwj,3,2,66,0,11,0,0
xwj,4,0,55,0,8,0,0
xwj,5,0,46,0,0,0,0
xwj,6,0,15,0,1,0,0
xwj,7,0,24,0,0,0,0
xwj,8,0,23,0,1,0,0
xwj,9,2,38,0,0,0,0
xwj,10,0,16,0,0,0,0
xy,2,1,78,0,3,1,2
xy,3,1,64,0,11,9,0
xy,4,0,47,0,14,1,1
xy,5,0,43,0,5,4,1
xy,6,0,15,0,0,2,1
xy,7,0,24,0,0,1,0
xy,8,0,18,1,6,3,0
xy,9,1,34,0,5,0,0
xy,10,0,15,0,0,0,0
yyk,2,2,75,0,3,0,0
yyk,3,3,72,0,5,0,0
yyk,4,2,56,0,6,0,0
yyk,5,0,46,0,2,0,0
yyk,6,0,14,0,2,0,0
yyk,7,0,22,0,2,0,0
yyk,8,2,22,0,0,0,0
yyk,9,2,38,0,0,0,0
yyk,10,0,15,0,1,0,0
yzc,2,2,67,0,11,1,0
yzc,3,0,63,0,17,4,0
yzc,4,3,48,0,13,2,0
yzc,5,1,42,0,5,2,0
yzc,6,0,15,0,1,0,0
yzc,7,0,24,0,0,0,0
yzc,8,0,22,0,2,1,0
yzc,9,2,34,1,3,0,0
yzc,10,0,12,0,4,0,0
zmy,2,2,72,0,6,0,0
zmy,3,2,67,0,11,0,0
zmy,4,0,52,0,12,1,0
zmy,5,0,42,0,6,0,0
zmy,6,0,15,0,1,0,0
zmy,7,1,22,0,1,0,0
zmy,8,0,24,0,0,0,0
zmy,9,3,37,0,0,0,0
zmy,10,0,16,0,0,0,0
zpj,2,0,71,0,9,3,0
zpj,3,1,72,0,7,1,0
zpj,4,0,56,0,8,2,0
zpj,5,0,46,0,2,1,0
zpj,6,0,15,0,1,0,0
zpj,7,0,20,0,4,0,0
zpj,8,0,22,0,2,1,0
zpj,9,0,35,1,4,2,0
zpj,10,0,15,0,1,0,0
