user, technique, session, index, phrase, rate, error, undo
gyz, normal, 1, 1, elections bring out the best, 21.8023255814, 0.0, Yes
gyz, normal, 1, 2, time to go shopping, 25.5101023991, 0.0, No
gyz, normal, 1, 3, watch out for low flying object, 20.0412644496, 0.0322580645161, No
gyz, normal, 1, 4, prevailing wind from the east, 24.3368216111, 0.0, No
gyz, normal, 1, 5, breathing is difficult, 25.7538362485, 0.0, No
gyz, normal, 1, 6, elephants are afraid of mice, 21.7001461746, 0.0, Yes
gyz, normal, 1, 7, physics and chemistry are hard, 19.1493279322, 0.0, No
gyz, normal, 1, 8, my favorite place to visit, 22.2327022839, 0.0, No
gyz, normal, 1, 9, my favorite subject is psychology, 22.3409172616, 0.0, No
gyz, normal, 1, 10, my watch fell in the water, 27.0467522432, 0.0, No
gyz, normal, 2, 1, watch out for low flying objects, 19.6274420718, 0.0, No
gyz, normal, 2, 2, my watch fell in the water, 22.7866643759, 0.0, No
gyz, normal, 2, 3, physics and chemistry are hard, 28.9473195895, 0.0, No
gyz, normal, 2, 4, time to go shopping, 28.6909742977, 0.0, No
gyz, normal, 2, 5, prevailing wind from the east, 27.1286985459, 0.0, No
gyz, normal, 2, 6, my favorite place to visit, 25.238523164, 0.0, No
gyz, normal, 2, 7, my favorite subject is psychology, 22.4170472626, 0.0, No
gyz, normal, 2, 8, elections bring out the best, 27.3172212316, 0.0, No
gyz, normal, 2, 9, elephants are afraid of mice, 30.0629442896, 0.0, No
gyz, normal, 2, 10, breaking is difficult, 27.244374873, 0.0952380952381, No
gyz, normal, 3, 1, my favorite place to visit, 24.7318375568, 0.0, No
gyz, normal, 3, 2, elephants are afraid of mice, 21.9331647729, 0.0, No
gyz, normal, 3, 3, elections bring out the best, 28.2971594761, 0.0, Yes
gyz, normal, 3, 4, breathing is difficult, 34.5846242525, 0.0, No
gyz, normal, 3, 5, time to go shopping, 25.7569456555, 0.0, No
gyz, normal, 3, 6, watch out for low flying objects, 24.6451554014, 0.0, No
gyz, normal, 3, 7, physics and chemistry are hard, 25.4710511707, 0.0, No
gyz, normal, 3, 8, my favorite subject is psychology, 20.3774512961, 0.0, No
gyz, normal, 3, 9, prevailing wind from the east, 26.3137120754, 0.0, No
gyz, normal, 3, 10, my watch fell in the water, 29.4860994103, 0.0, Yes
gyz, normal, 4, 1, watch out for low flying object, 26.621841856, 0.0322580645161, No
gyz, normal, 4, 2, elections bring out the best, 27.4544570595, 0.0, No
gyz, normal, 4, 3, my favorite place to visit, 28.5041784534, 0.0, No
gyz, normal, 4, 4, elephants are afraid of mice, 25.441920865, 0.0, No
gyz, normal, 4, 5, physics and chemistry are hard, 31.8075237027, 0.0, Yes
gyz, normal, 4, 6, prevailing winds from the east, 32.6363246477, 0.0333333333333, No
gyz, normal, 4, 7, my watch fell in the water, 26.7342803492, 0.0, No
gyz, normal, 4, 8, my favorite subject is psychology, 23.9669421488, 0.0, No
gyz, normal, 4, 9, time to go shopping, 23.4710218452, 0.0, No
gyz, normal, 4, 10, breathing is difficult, 29.3355497971, 0.0, No
gyz, normal, 5, 1, physics and chemistry are hard, 30.4149891305, 0.0, Yes
gyz, normal, 5, 2, time to go shopping, 28.2847925045, 0.0, No
gyz, normal, 5, 3, breathing is difficult, 34.1068966987, 0.0, Yes
gyz, normal, 5, 4, my favorite place to visit, 27.8087934776, 0.0, No
gyz, normal, 5, 5, watch out for low flying objects, 26.0328785614, 0.0, No
gyz, normal, 5, 6, my watch fell in the water, 35.984578038, 0.0, Yes
gyz, normal, 5, 7, prevailing wind fun the east, 30.3941744499, 0.107142857143, No
gyz, normal, 5, 8, electrons bring out the best, 33.8306120052, 0.0357142857143, No
gyz, normal, 5, 9, my favorite subject is psychology, 29.6642315856, 0.0, Yes
gyz, normal, 5, 10, elephants are afraid of mice, 28.0425701795, 0.0, No
gyz, normal, 6, 1, physics and chemistry are hard, 34.9423227685, 0.0, Yes
gyz, normal, 6, 2, watch out for low flying objects, 26.202992317, 0.0, No
gyz, normal, 6, 3, my watch fell in the water, 31.6344463972, 0.0, No
gyz, normal, 6, 4, my favorite place to visit, 31.8148951555, 0.0, Yes
gyz, normal, 6, 5, elephants are afraid of mice, 28.8779705204, 0.0, No
gyz, normal, 6, 6, elections bring out there best, 33.7479718767, 0.0666666666667, No
gyz, normal, 6, 7, time to go shipping, 32.9613733906, 0.0526315789474, Yes
gyz, normal, 6, 8, prevailing wind from the east, 33.0542089026, 0.0, No
gyz, normal, 6, 9, my favorite subject is psychology, 31.7315583113, 0.0, No
gyz, normal, 6, 10, breathing is difficult, 29.4009555311, 0.0, Yes
gyz, normal, 7, 1, physics and chemistry are hard, 29.6606141268, 0.0, Yes
gyz, normal, 7, 2, watch out for low flying objects, 27.009003001, 0.0, Yes
gyz, normal, 7, 3, time to go shopping, 25.8899676375, 0.0, Yes
gyz, normal, 7, 4, elephants are afraid odd mice, 30.6466441925, 0.0689655172414, No
gyz, normal, 7, 5, my favorite place to visit, 28.522039758, 0.0, Yes
gyz, normal, 7, 6, elections bring our the best, 29.1763752406, 0.0357142857143, Yes
gyz, normal, 7, 7, my favorite subject is psychology, 28.1212121212, 0.0, Yes
gyz, normal, 7, 8, prevailing wind from the east, 29.2625829107, 0.0, Yes
gyz, normal, 7, 9, my watch fell in the water, 30.9354284311, 0.0, Yes
gyz, normal, 7, 10, breathing is difficult, 29.1686922703, 0.0, Yes
gyz, normal, 8, 1, my watch fell in the water, 33.2366130309, 0.0, No
gyz, normal, 8, 2, elephants are afraid of mice, 34.2979635584, 0.0, Yes
gyz, normal, 8, 3, my favorite place to visit, 31.13574714, 0.0, No
gyz, normal, 8, 4, electrons bring out the best, 30.4568527919, 0.0357142857143, Yes
gyz, normal, 8, 5, watch out for low flying objects, 26.3951120163, 0.0, Yes
gyz, normal, 8, 6, physics and chemistry are hard, 36.8837924105, 0.0, No
gyz, normal, 8, 7, my favorite subject id psychology, 32.0796460177, 0.030303030303, Yes
gyz, normal, 8, 8, time to go shopping, 32.3395654371, 0.0, Yes
gyz, normal, 8, 9, breathing is difficult, 38.1800827235, 0.0, Yes
gyz, normal, 8, 10, prevailing wind from the east, 28.8933834152, 0.0, No
lmy, normal, 1, 1, elephants are afraid of mice, 13.5650699449, 0.0, Yes
lmy, normal, 1, 2, time to go shopping, 10.6439005461, 0.0, No
lmy, normal, 1, 3, my watch fell in the water, 18.0425288179, 0.0, No
lmy, normal, 1, 4, breathing is difficult, 18.8884166785, 0.0, Yes
lmy, normal, 1, 5, electrons bring out the best, 16.0860604233, 0.0357142857143, No
lmy, normal, 1, 6, my favorite subject is psychology, 14.57377976, 0.0, No
lmy, normal, 1, 7, prevailing wind from the east, 12.6434504819, 0.0, No
lmy, normal, 1, 8, my favorite place to visit, 17.4335675419, 0.0, No
lmy, normal, 1, 9, watch out for low flying objects, 12.3505733106, 0.0, No
lmy, normal, 1, 10, physics and chemistry are hard, 17.1612441902, 0.0, No
lmy, normal, 2, 1, my favorite subject is psychology, 15.9284501343, 0.0, No
lmy, normal, 2, 2, time to go shopping, 18.9293108548, 0.0, No
lmy, normal, 2, 3, physics and chemistry are hard, 15.9549171316, 0.0, No
lmy, normal, 2, 4, my favorite place to visit, 16.6872096331, 0.0, No
lmy, normal, 2, 5, prevailing wind from the east, 17.7328021374, 0.0, No
lmy, normal, 2, 6, elections bring out the best, 17.3669738048, 0.0, No
lmy, normal, 2, 7, breathing is difficult, 19.5129883329, 0.0, No
lmy, normal, 2, 8, elephants are afraid of mice, 12.7774548907, 0.0, No
lmy, normal, 2, 9, watch out for low flying objects, 14.033507164, 0.0, No
lmy, normal, 2, 10, my watch fell in the water, 14.8530607915, 0.0, No
lmy, normal, 3, 1, elections bring out the best, 16.4473684211, 0.0, No
lmy, normal, 3, 2, my favorite subject is psychology, 18.0439900032, 0.0, No
lmy, normal, 3, 3, prevailing wind from the east, 17.0530121304, 0.0, No
lmy, normal, 3, 4, physics and chemistry are hard, 16.4770746855, 0.0, No
lmy, normal, 3, 5, my watch fell in the water, 19.0043815657, 0.0, No
lmy, normal, 3, 6, time to go shopping, 19.0644517481, 0.0, No
lmy, normal, 3, 7, elephants are afraid of mice, 15.3859304214, 0.0, No
lmy, normal, 3, 8, watch out for low flying objects, 13.6824902132, 0.0, No
lmy, normal, 3, 9, breathing is difficult, 15.4013989604, 0.0, No
lmy, normal, 3, 10, my favorite place to visit, 16.4007753094, 0.0, No
lmy, normal, 4, 1, electrons bring out the best, 20.7627424122, 0.0357142857143, No
lmy, normal, 4, 2, breathing is difficult, 24.434941967, 0.0, No
lmy, normal, 4, 3, physics and chemistry are hard, 18.274468459, 0.0, No
lmy, normal, 4, 4, my favorite place to visit, 15.6314761087, 0.0, No
lmy, normal, 4, 5, my favorite subject is psychology, 10.9365179133, 0.0, No
lmy, normal, 4, 6, elephants are afraid of mice, 16.0597780628, 0.0, Yes
lmy, normal, 4, 7, watch out for low flying objects, 20.3032961524, 0.0, No
lmy, normal, 4, 8, time to go shopping, 25.3833950291, 0.0, No
lmy, normal, 4, 9, prevailing wind from the east, 17.160507951, 0.0, No
lmy, normal, 4, 10, my watch fell in the water, 11.6054158607, 0.0, No
lmy, normal, 5, 1, my favorite subjects is psychology, 12.2216186855, 0.0294117647059, Yes
lmy, normal, 5, 2, elephants are afraid of mice, 22.5387384567, 0.0, No
lmy, normal, 5, 3, physics and chemistry are hard, 18.5636936991, 0.0, No
lmy, normal, 5, 4, elections bring out the best, 24.9005706381, 0.0, No
lmy, normal, 5, 5, my watch fell in the water, 20.8626541932, 0.0, No
