user, technique, session, index, phrase, rate, error, undo
dm, normal, 1, 1, you should visit a doctor, 10.6488172207, 0.0, No
dm, normal, 1, 2, there will be some fog tonight, 9.30876233799, 0.0, No
dm, normal, 1, 3, breathing is difficult, 11.5279865891, 0.0, No
dm, normal, 1, 4, do not worry about this, 6.52836833741, 0.0, No
dm, normal, 1, 5, that is a very odd question, 5.25934130734, 0.0, No
dm, normal, 1, 6, the price of gas is high, 7.40202062177, 0.0, No
dm, normal, 1, 7, shall we play a round of cards, 9.99174293466, 0.0, No
dm, normal, 1, 8, prevailing wind from the east, 13.1591067598, 0.0, Yes
dm, normal, 1, 9, safe to walk the streets in the evening, 13.5359495786, 0.0, No
dm, normal, 1, 10, all together in one big pile, 6.41344406594, 0.0, Yes
dm, normal, 2, 1, this person is a disaster, 7.51996371319, 0.0, No
dm, normal, 2, 2, this phenomenon will never occur, 10.0865158893, 0.0, No
dm, normal, 2, 3, public transit is much faster, 13.7967191402, 0.0, No
dm, normal, 2, 4, the winner of the race, 11.6699983792, 0.0, No
dm, normal, 2, 5, house with new electrical panel, 12.6780403819, 0.0, No
dm, normal, 2, 6, lie detector tests never work, 9.14073997337, 0.0, Yes
dm, normal, 2, 7, experience is hard to come by, 9.91851663073, 0.0, No
dm, normal, 2, 8, that land is owned by the government, 8.11541929666, 0.0, No
dm, normal, 2, 9, the fourth edition was better, 14.891293557, 0.0, Yes
dm, normal, 2, 10, just in time for the party, 10.8869399922, 0.0, No
dm, normal, 3, 1, a correction had to be published, 9.41778333285, 0.0, Yes
dm, normal, 3, 2, with each step forward, 14.5148968678, 0.0, No
dm, normal, 3, 3, pay off a mortgage for a house, 9.62052378407, 0.0, No
dm, normal, 3, 4, superman never wore a mask, 13.2430398796, 0.0, No
dm, normal, 3, 5, an occasional taste of chocolate, 14.1378439788, 0.0, No
dm, normal, 3, 6, talking the train is usually faster, 12.3329907503, 0.0285714285714, No
dm, normal, 3, 7, the union will go on strike, 13.8068092673, 0.0, No
dm, normal, 3, 8, coalition governments never work, 11.8302964373, 0.0, Yes
dm, normal, 3, 9, the minimum amount of time, 14.0030764335, 0.0, No
dm, normal, 3, 10, the music is better than it sounds, 9.84182776801, 0.0, No
